Meiosis	Chromatid	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
OM1	1	3'	3'		5'			3'			5'					3'	
OM1	2	5'	5'		3'			5'			3'					5'	
OM1	3	3'	3'	5'	5'	3'		3'			5'		3'				5'
OM1	4	5'	5'	3'	3'	5'		5'			3'		5'				3'
OM1	5		3'		3'		5'	5'					5'		3'	5'	
OM1	6		5'		5'		3'	3'					3'		5'	3'	
OM1	7																
OM1	8																
OM2	1		5'		5'	3'	3'							5'	3'	3'	
OM2	2		3'		3'	5'	5'							3'	5'	5'	
OM2	3		5'		3'				3'	5'	5'	3'			5'	5'	5'
OM2	4		3'		5'				5'	3'	3'	5'			3'	3'	3'
OM2	5		5'	5'		3'		5'	3'	3'			5'	5'		5'	5'
OM2	6		3'	3'		5'		3'	5'	5'			3'	3'		3'	3'
OM2	7			3'	3'	3'		5'	5'	3'	3'				5'	3'	3'
OM2	8			5'	5'	5'		3'	3'	5'	5'				3'	5'	5'
OM3	1		3'					5'	3'	3'		5'		3'			5'
OM3	2		5'					3'	5'	5'		3'		5'			3'
OM3	3											3'	5'			3'	3'
OM3	4											5'	3'			5'	5'
OM3	5						5'	3'	3'	5'						3'	
OM3	6						3'	5'	5'	3'						5'	
OM3	7			3'		5'		5'	3'		5'		5'			3'	
OM3	8			5'		3'		3'	5'		3'		3'			5'	
OM4	1											3'		5'	5'	5'	
OM4	2											5'		3'	3'	3'	
OM4	3				3'	5'		3'			3'					3'	
OM4	4				5'	3'		5'			5'					5'	
OM4	5						3'	5'				3'	5'				3'
OM4	6						5'	3'				5'	3'				5'
OM4	7				5'			3'				5'		3'		5'	
OM4	8				3'			5'				3'		5'		3'	
OM5	1				3'			5'			3'		5'	3'			
OM5	2				5'			3'			5'		3'	5'			
OM5	3		3'					3'			5'				3'	5'	3'
OM5	4		5'					5'			3'				5'	3'	5'
OM5	5																
OM5	6																
OM5	7																
OM5	8																
OM6	1																
OM6	2																
OM6	3		5'			3'							3'	3'	3'		
OM6	4		3'			5'							5'	5'	5'		
OM6	5		5'		5'	5'								3'		3'	
OM6	6		3'		3'	3'								5'		5'	
OM6	7		3'		5'	3'	5'		3'	5'		5'		3'		3'	
OM6	8		5'		3'	5'	3'		5'	3'		3'		5'		5'	
OM7	1				3'	3'							3'		5'		3'
OM7	2				5'	5'							5'		3'		5'
OM7	3							5'		3'		5'			5'		3'
OM7	4							3'		5'		3'			3'		5'
OM7	5		3'		3'							3'		3'		5'	3'
OM7	6		5'		5'							5'		5'		3'	5'
OM7	7		5'	5'	3'	3'	5'	3'		3'	5'	5'	5'	3'	5'	3'	3'
OM7	8		3'	3'	5'	5'	3'	5'		5'	3'	3'	3'	5'	3'	5'	5'
OM8	1				5'					3'				5'	5'	3'	
OM8	2				3'					5'				3'	3'	5'	
OM8	3		5'			3'		3'		5'		3'			3'		
OM8	4		3'			5'		5'		3'		5'			5'		
OM8	5													5'			
OM8	6													3'			
OM8	7					5'						3'			3'		5'
OM8	8					3'						5'			5'		3'
OM9	1						3'	5'			5'	3'				5'	3'
OM9	2						5'	3'			3'	5'				3'	5'
OM9	3				5'							3'	5'		3'	3'	5'
OM9	4				3'							5'	3'		5'	5'	3'
OM9	5										5'					5'	
OM9	6										3'					3'	
OM9	7		5'	5'	5'		3'	5'	5'		3'		3'	3'	5'	3'	3'
OM9	8		3'	3'	3'		5'	3'	3'		5'		5'	5'	3'	5'	5'
OMT1	1		5'		3'		3'	5'			5'						3'
OMT1	2		3'		5'		5'	3'			3'						5'
OMT1	3				5'	3'								3'	3'		
OMT1	4				3'	5'								5'	5'		
OMT1	5				3'			5'	3'					5'			5'
OMT1	6				5'			3'	5'					3'			3'
OMT1	7		3'	3'	3'	3'		3'						3'	5'	3'	3'
OMT1	8		5'	5'	5'	5'		5'						5'	3'	5'	5'
OMT2	1		5'					3'						3'	3'		
OMT2	2		3'					5'						5'	5'		
OMT2	3																
OMT2	4																
OMT2	5		5'							3'						3'	3'
OMT2	6		3'							5'						5'	5'
OMT2	7		5'		5'									5'			
OMT2	8		3'		3'									3'			
OMT3	1							5'						3'	5'		3'
OMT3	2							3'						5'	3'		5'
OMT3	3		5'		3'									3'		5'	3'
OMT3	4		3'		5'									5'		3'	5'
OMT3	5		5'					3'					3'			5'	
OMT3	6		3'					5'					5'			3'	
OMT3	7				3'	5'						3'	3'		5'		
OMT3	8				5'	3'						5'	5'		3'		
OMT4	1																
OMT4	2																
OMT4	3		3'		3'								5'		3'		
OMT4	4		5'		5'								3'		5'		
OMT4	5	5'			3'			5'	5'		3'		5'		3'	3'	5'
OMT4	6	3'			5'			3'	3'		5'		3'		5'	5'	3'
OMT4	7		3'		5'	3'		5'	3'			3'	3'	5'	5'	3'	5'
OMT4	8		5'		3'	5'		3'	5'			5'	5'	3'	3'	5'	3'
OMT5	1	3'							3'	3'				5'			
OMT5	2	5'							5'	5'				3'			
OMT5	3				5'			5'	5'				5'	5'		3'	5'
OMT5	4				3'			3'	3'				3'	3'		5'	3'
OMT5	5																
OMT5	6																
OMT5	7		3'		3'	5'		3'			5'	3'	5'	5'	5'	5'	5'
OMT5	8		5'		5'	3'		5'			3'	5'	3'	3'	3'	3'	3'
OMT6	1							3'			5'	5'					
OMT6	2							5'			3'	3'					
OMT6	3	3'		3'	3'	5'		5'					3'				
OMT6	4	5'		5'	5'	3'		3'					5'				
OMT6	5					3'	5'				5'	5'	5'		5'		
OMT6	6					5'	3'				3'	3'	3'		3'		
OMT6	7				5'							5'	5'			3'	3'
OMT6	8				3'							3'	3'			5'	5'
OMT7	1	5'			5'				5'								
OMT7	2	3'			3'				3'								
OMT7	3				5'					5'	3'		3'				3'
OMT7	4				3'					3'	5'		5'				5'
OMT7	5	5'			5'	5'						3'	3'	3'		3'	3'
OMT7	6	3'			3'	3'						5'	5'	5'		5'	5'
OMT7	7			5'	3'	5'	3'							5'			3'
OMT7	8			3'	5'	3'	5'							3'			5'
OMT8	1		5'			5'			3'	5'					5'	3'	3'
OMT8	2		3'			3'			5'	3'					3'	5'	5'
OMT8	3								3'		5'		3'	5'			3'
OMT8	4								5'		3'		5'	3'			5'
OMT8	5						5'					3'				3'	
OMT8	6						3'					5'				5'	
OMT8	7		3'		3'	5'		3'							5'	3'	
OMT8	8		5'		5'	3'		5'							3'	5'	
OMT9	1		3'					5'			5'						5'
OMT9	2		5'					3'			3'						3'
OMT9	3																
OMT9	4																
OMT9	5		5'		5'			3'	5'			5'	5'		3'		3'
OMT9	6		3'		3'			5'	3'			3'	3'		5'		5'
OMT9	7				3'				5'			5'	5'	5'			
OMT9	8				5'				3'			3'	3'	3'			
OMT10	1		3'						5'	3'			5'			3'	
OMT10	2		5'						3'	5'			3'			5'	
OMT10	3		5'		5'	3'		3'			5'	5'	3'	5'		5'	3'
OMT10	4		3'		3'	5'		5'			3'	3'	5'	3'		3'	5'
OMT10	5				3'	3'		3'			5'		3'	5'	5'	3'	
OMT10	6				5'	5'		5'			3'		5'	3'	3'	5'	
OMT10	7		5'		3'	5'		3'		3'							
OMT10	8		3'		5'	3'		5'		5'							
OMTkd12	1										3'	5'	3'	5'		5'	5'
OMTkd12	2										5'	3'	5'	3'		3'	3'
OMTkd12	3				5'						3'				5'	3'	
OMTkd12	4				3'						5'				3'	5'	
OMTkd12	5				5'			5'				5'	5'	3'	3'	5'	3'
OMTkd12	6				3'			3'				3'	3'	5'	5'	3'	5'
OMTkd12	7		3'		3'					3'	5'		5'	5'		5'	
OMTkd12	8		5'		5'					5'	3'		3'	3'		3'	
OMTkd14	1		5'	3'	3'			5'					3'		5'		5'
OMTkd14	2		3'	5'	5'			3'					5'		3'		3'
OMTkd14	3							3'				5'	5'			5'	
OMTkd14	4							5'				3'	3'			3'	
OMTkd14	5					3'			3'			3'		3'			3'
OMTkd14	6					5'			5'			5'		5'			5'
OMTkd14	7		3'		5'								5'	5'			5'
OMTkd14	8		5'		3'								3'	3'			3'
OMTkd15	1		5'		5'								3'	5'		3'	
OMTkd15	2		3'		3'								5'	3'		5'	
OMTkd15	3				3'	5'		5'					3'		5'	5'	
OMTkd15	4				5'	3'		3'					5'		3'	3'	
OMTkd15	5																
OMTkd15	6																
OMTkd15	7		5'		5'	3'							5'	3'		5'	
OMTkd15	8		3'		3'	5'							3'	5'		3'	
OMTkd25	1	5'	5'			5'		3'		3'	5'		5'				
OMTkd25	2	3'	3'			3'		5'		5'	3'		3'				
OMTkd25	3	3'	5'	5'	5'								3'		5'	5'	5'
OMTkd25	4	5'	3'	3'	3'								5'		3'	3'	3'
OMTkd25	5					5'		3'		5'	3'	5'	5'				
OMTkd25	6					3'		5'		3'	5'	3'	3'				
OMTkd25	7			3'	5'			3'				3'	3'			3'	3'
OMTkd25	8			5'	3'			5'				5'	5'			5'	5'
OMN1	1		5'		3'	3'	3'							3'	5'		
OMN1	2		3'		5'	5'	5'							5'	3'		
OMN1	3		5'			5'									5'	5'	
OMN1	4		3'			3'									3'	3'	
OMN1	5				5'	5'										5'	
OMN1	6				3'	3'										3'	
OMN1	7							3'					3'	5'			
OMN1	8							5'					5'	3'			
OMN2	1							5'				5'				5'	
OMN2	2							3'				3'				3'	
OMN2	3						3'				5'	5'					3'
OMN2	4						5'				3'	3'					5'
OMN2	5		5'					3'		3'	3'			5'		5'	5'
OMN2	6		3'					5'		5'	5'			3'		3'	3'
OMN2	7			3'		5'											3'
OMN2	8			5'		3'											5'
OMN3	1		5'		3'			5'	3'								
OMN3	2		3'		5'			3'	5'								
OMN3	3					5'				3'				3'	5'	3'	
OMN3	4					3'				5'				5'	3'	5'	
OMN3	5			5'							5'		5'	3'	3'	3'	
OMN3	6			3'							3'		3'	5'	5'	5'	
OMN3	7				3'	5'		5'						3'			
OMN3	8				5'	3'		3'						5'			
OMN4	1						5'	5'	5'			3'			3'	3'	
OMN4	2						3'	3'	3'			5'			5'	5'	
OMN4	3	5'				5'					5'		3'	5'			5'
OMN4	4	3'				3'					3'		5'	3'			3'
OMN4	5		5'		5'	5'		3'	5'		5'			5'			5'
OMN4	6		3'		3'	3'		5'	3'		3'			3'			3'
OMN4	7		3'	3'							5'	3'		3'			
OMN4	8		5'	5'							3'	5'		5'			
OMN5	1				5'	5'		5'							3'		5'
OMN5	2				3'	3'		3'							5'		3'
