Chr	Start	End	MedianPoint	Midpoint	Width	Feature_name	Name	Type	Direction	WatsonHpM	CrickHpM	TotalHpM	DCHpM	DCHpMpercent
1	373	495	423	434	123	TEL01L	null	NA	NA	35.47	21.58	57.05	1.24	2.18
1	2372	2518	2443	2445	147	YAL067W-A	null	divergent	-,+	44.46	53.64	98.1	4.96	5.05
1	6333	6768	6458	6550.5	436	YAL067C	SEO1	convergent	+,-	176.17	198.85	375.02	6.97	1.86
1	9200	9431	9295	9315.5	232	YAL067C	SEO1	directional	-,-	68.19	130.34	198.52	5.27	2.65
1	11159	11200	11178	11179.5	42	YAL066W	null	convergent	+.-	10.99	11.3	22.29	0	0
1	28221	28860	28680	28540.5	640	YAL063C	FLO9	divergent	-,+	157.1	122.51	279.61	10.61	3.79
1	29862	30094	29997	29978	233	ARS104	null	divergent	-,+	24.93	14.65	39.58	1.71	4.32
1	32919	33197	33023	33058	279	YAL062W	GDH3	directional	+,+	89.16	114.6	203.76	8.51	4.18
1	34464	35117	34942	34790.5	654	YAL061W	BDH2	directional	+,+	358.28	233.97	592.25	23.47	3.96
1	36346	36567	36454	36456.5	222	YAL059W	ECM1	directional	+,+	140.36	91.9	232.26	6.09	2.62
1	37200	37462	37317	37331	263	YAL058W	CNE1	directional	+,+	96.94	94.15	191.09	2.27	1.19
1	38994	39232	39133	39113	239	YAL056W	GPB2	directional	+,+	119.88	236.73	356.61	4	1.12
1	42495	42765	42648	42630	271	YAL055W	PEX22	NA	NA	91.72	48.84	140.57	3.98	2.83
1	45185	45707	45569	45446	523	YAL054C	ACS1	divergent	-,+	125.03	124.08	249.11	4.27	1.71
1	48319	48516	48433	48417.5	198	YAL051W	OAF1	directional	+,+	86.52	88.28	174.8	2.85	1.63
1	52637	52845	52752	52741	209	YAL048C	GEM1	directional	-,-	58.25	57.34	115.59	1.22	1.06
1	54802	54924	54861	54863	123	YAL048C	GEM1	directional	-,-	21.99	16.44	38.43	0.11	0.29
1	57367	57534	57451	57450.5	168	YAL044W-A	null	divergent	-,+	53.15	41.33	94.48	0.79	0.84
1	58430	58705	58561	58567.5	276	YAL044C	GCV3	directional	-,-	277.48	122.84	400.32	14.74	3.68
1	61042	61324	61204	61183	283	YAL042W	ERV46	divergent	-,+	316.87	425.73	742.6	30.34	4.09
1	62569	62789	62706	62679	221	YAL042W	ERV46	directional	+,+	84.76	51.42	136.18	1.36	1
1	67961	68755	68208	68358	795	YAL039C	CYC3	directional	-,-	660.02	494.69	1154.71	40.12	3.47
1	69590	70522	69789	70056	933	ARS106	null	divergent	-,+	515.98	335.79	851.77	34.25	4.02
1	70771	71575	71356	71173	805	YAL038W	CDC19	divergent	-,+	784.06	593.73	1377.78	90.2	6.55
1	73673	73819	73743	73746	147	YAL037W	null	directional	+,+	24.47	13.15	37.62	0	0
1	74856	75120	75025	74988	265	YAL036C	RBG1	convergent	+,-	51.09	59.63	110.72	3.17	2.86
1	76169	76432	76314	76300.5	264	YAL035W	FUN12	divergent	-,+	167.19	211.43	378.63	6.64	1.75
1	79550	79640	79597	79595	91	YAL035W	FUN12	directional	+,+	18.77	14.58	33.35	0.36	1.07
1	81979	82302	82179	82140.5	324	YAL034C	FUN19	divergent	-,+	194.92	210.37	405.29	25.86	6.38
1	82523	82743	82638	82633	221	YAL033W	POP5	divergent	-,+	135.99	111.5	247.49	5.41	2.19
1	83421	83571	83494	83496	151	YAL032C	PRP45	NA	NA	23.41	23.15	46.57	0.5	1.07
1	84490	84680	84583	84585	191	YAL032C	PRP45	directional	-,-	47.67	47.53	95.21	0.66	0.69
1	87047	87292	87136	87169.5	246	YAL030W	SNC1	divergent	-,+	103.23	113.07	216.29	2.24	1.04
1	92258	92908	92789	92583	651	YAL029C	MYO4	divergent	-,+	565.31	331.73	897.03	23.51	2.62
1	94461	94598	94537	94529.5	138	YAL028W	FRT2	directional	+,+	35.18	27.35	62.53	0.54	0.87
1	99835	99976	99916	99905.5	142	HRA1	HRA1	directional	-,-	14.31	41.68	55.99	0.05	0.09
1	100319	100409	100369	100364	91	YAL025C	MAK16	directional_overlapping	-,-	10.77	31.21	41.99	0.92	2.19
