Chr	Start	End	Length	Midpoint	PanHits	Feature_name	Name	Type	Direction	WatsonHpM	CrickHpM	TotalHpM	BGHpM	Total-BGHpM	WatsonHpM300	CrickHpM300	TotalHpM300	BGHpM300	Total-BGHpM300	NormHpM	NormHpM300
1	396	498	103	447	192	TEL01L	null	NA	NA	50.34	44.42	94.76	0.34	94.42	51.33	51.33	102.66	2.33	100.33	106.85	107.51
1	2409	2482	74	2445.5	173	YAL067W-A	null	divergent	-,+	29.12	56.26	85.38	0.24	85.14	36.52	60.71	97.23	2.23	95	96.35	101.8
1	6365	6727	364	6546.5	400	YAL067C	SEO1	convergent	+,-	91.8	105.62	197.42	1.2	196.21	99.2	111.05	210.25	3.19	207.06	222.05	221.88
1	9231	9432	202	9332.5	174	YAL067C	SEO1	directional	-,-	35.53	50.34	85.88	0.67	85.21	43.93	63.67	107.59	2.65	104.94	96.43	112.45
1	28204	28869	666	28538.5	2350	YAL063C	FLO9	divergent	-,+	662.33	497.49	1159.82	2.2	1157.62	667.27	510.32	1177.59	4.19	1173.4	1310.03	1257.42
1	29841	30090	250	29966.5	256	ARS104	null	divergent	-,+	69.59	56.76	126.35	0.83	125.52	80.45	65.15	145.59	2.81	142.78	142.05	153.01
1	31608	31730	123	31670	82	YAL062W	GDH3	NA	NA	12.83	27.64	40.47	0.41	40.06	32.57	38.5	71.07	2.39	68.68	45.34	73.6
1	32917	33191	275	33055	616	YAL062W	GDH3	directional	+,+	129.8	174.22	304.02	0.91	303.11	142.14	186.56	328.7	2.9	325.8	343.02	349.13
1	34487	35092	606	34790.5	1171	YAL061W	BDH2	directional	+,+	310.44	267.5	577.94	2.01	575.93	323.76	272.93	596.69	3.99	592.7	651.76	635.14
1	36357	36567	211	36463	343	YAL059W	ECM1	directional	+,+	121.9	47.38	169.28	0.7	168.59	125.85	48.86	174.71	2.68	172.03	190.78	184.35
