chr	pos_c	b1	b2	b3	b4	b5	b6	b7	b8	sporeaffect
1	27825	1	1	1	1	0	0	0	0	0
1	27914	1	1	1	1	0	0	0	0	0
1	27948	1	1	1	1	0	0	0	0	0
1	27970	1	1	1	1	0	0	0	0	0
1	27983	1	1	1	1	0	0	0	0	0
1	27997	1	1	1	1	0	0	0	0	0
1	28007	1	1	1	1	0	0	0	0	0
1	28008	1	1	1	1	0	0	0	0	0
1	28117	1	1	1	1	0	0	0	0	0
1	28127	1	1	1	1	0	0	0	0	0
1	28321	1	1	1	1	0	0	0	0	0
1	28352	1	1	1	1	0	0	0	0	0
1	28384	1	1	1	1	0	0	0	0	0
1	28385	1	1	1	1	0	0	0	0	0
1	28433	1	1	1	1	0	0	0	0	0
1	28458	1	1	1	1	0	0	0	0	0
1	28517	1	1	1	1	0	0	0	0	0
1	28522	1	1	1	1	0	0	0	0	0
1	28547	1	1	1	1	0	0	0	0	0
1	28650	1	1	1	1	0	0	0	0	0
1	28666	1	1	1	1	0	0	0	0	0
1	28684	1	1	1	1	0	0	0	0	0
1	28696	1	1	1	1	0	0	0	0	0
1	28844	1	1	1	1	0	0	0	0	0
1	28926	1	1	1	1	0	0	0	0	0
1	28975	1	1	1	1	0	0	0	0	0
1	29093	1	1	1	1	0	0	0	0	0
1	29109	1	1	1	1	0	0	0	0	0
1	29118	1	1	1	1	0	0	0	0	0
1	29126	1	1	1	1	0	0	0	0	0
1	29131	1	1	1	1	0	0	0	0	0
1	29154	1	1	1	1	0	0	0	0	0
1	29180	1	1	1	1	0	0	0	0	0
1	29209	1	1	1	1	0	0	0	0	0
1	29211	1	1	1	1	0	0	0	0	0
1	29226	1	1	1	1	0	0	0	0	0
1	29245	1	1	1	1	0	0	0	0	0
1	29282	1	1	1	1	0	0	0	0	0
1	29354	1	1	1	1	0	0	0	0	0
1	29374	1	1	1	1	0	0	0	0	0
1	29400	1	1	1	1	0	0	0	0	0
1	29402	1	1	1	1	0	0	0	0	0
1	29423	1	1	1	1	0	0	0	0	0
1	29440	1	1	1	1	0	0	0	0	0
1	29441	1	1	1	1	0	0	0	0	0
1	29449	1	1	1	1	0	0	0	0	0
1	29459	1	1	1	1	0	0	0	0	0
1	29476	1	1	1	1	0	0	0	0	0
1	29508	1	1	1	1	0	0	0	0	0
1	29522	1	1	1	1	0	0	0	0	0
1	29530	1	1	1	1	0	0	0	0	0
1	29534	1	1	1	1	0	0	0	0	0
1	29552	1	1	1	1	0	0	0	0	0
1	29554	1	1	1	1	0	0	0	0	0
1	29564	1	1	1	1	0	0	0	0	0
1	29605	1	1	1	1	0	0	0	0	0
1	29666	1	1	1	1	0	0	0	0	0
1	29693	1	1	1	1	0	0	0	0	0
