uID	Chr	Position
1	1	10985
2	1	42150
3	1	51775
4	1	65515
5	1	79810
6	1	95390
7	1	127260
8	1	134280
9	1	137270
10	1	147430
11	1	151420
12	1	156625
13	1	159865
14	1	166755
15	1	171695
16	1	176360
17	1	186985
18	1	197050
19	2	510
20	2	9605
21	2	35300
22	2	44305
23	2	50860
24	2	66860
25	2	79465
26	2	93560
27	2	105655
28	2	115930
29	2	119530
30	2	127650
31	2	150140
32	2	162685
33	2	174790
34	2	185725
35	2	197030
36	2	212300
37	2	220945
38	2	235080
39	2	238075
40	2	244475
41	2	248860
42	2	257055
43	2	265070
44	2	283200
45	2	304995
46	2	320480
47	2	327765
48	2	333805
49	2	349995
50	2	351940
51	2	353660
52	2	389460
53	2	395245
54	2	413730
55	2	443285
56	2	460465
57	2	462340
58	2	469780
59	2	480880
60	2	499265
61	2	513465
62	2	517295
63	2	541435
64	2	548295
65	2	569910
66	2	573730
67	2	584840
68	2	603680
69	2	605620
70	2	607360
71	2	609850
72	2	632055
73	2	636560
74	2	655570
75	2	673720
76	2	690270
77	2	694700
78	2	707880
79	2	712840
80	2	732550
81	2	751155
82	2	762755
83	2	796350
84	2	802050
85	3	29350
86	3	37635
87	3	43845
88	3	54900
89	3	64535
90	3	92790
91	3	101185
92	3	110545
93	3	114280
94	3	130555
95	3	190285
96	3	194255
97	3	218170
98	3	233195
99	3	240105
100	3	259905
101	3	276995
102	3	288035
103	3	292390
104	3	296255
105	4	3540
106	4	13295
107	4	26180
108	4	33265
109	4	38780
110	4	45805
111	4	47350
112	4	54120
113	4	65780
114	4	92310
115	4	95975
116	4	118280
117	4	129725
118	4	144130
119	4	161000
120	4	169740
121	4	181585
122	4	188295
123	4	194330
124	4	205145
125	4	218050
126	4	232120
127	4	235830
128	4	253690
129	4	256485
130	4	262950
131	4	280060
132	4	293170
133	4	298345
134	4	306935
135	4	309510
136	4	336535
137	4	338675
138	4	355450
139	4	372480
140	4	377795
141	4	400830
142	4	414760
143	4	414825
144	4	435195
145	4	440750
146	4	446375
147	4	449610
148	4	456250
149	4	470550
150	4	476030
151	4	478820
152	4	492115
153	4	509510
154	4	522830
155	4	555470
156	4	584590
157	4	607085
158	4	613105
159	4	624575
160	4	639960
161	4	661000
162	4	673375
163	4	677885
164	4	698200
165	4	700280
166	4	713170
167	4	734725
168	4	748615
169	4	753250
170	4	764030
171	4	766415
172	4	778895
173	4	792120
174	4	810450
175	4	826000
176	4	830845
177	4	840360
178	4	843455
179	4	864780
180	4	899585
181	4	922015
182	4	929325
183	4	935160
184	4	937695
185	4	963255
186	4	986610
187	4	993910
188	4	1021830
189	4	1043080
190	4	1068575
191	4	1078425
192	4	1089235
193	4	1100935
194	4	1120430
195	4	1145050
196	4	1147340
197	4	1151900
198	4	1191570
199	4	1214900
200	4	1220835
201	4	1238920
202	4	1255005
203	4	1272415
204	4	1284090
205	4	1292195
206	4	1314845
207	4	1324350
208	4	1340515
209	4	1344170
210	4	1357520
211	4	1379805
212	4	1398000
213	4	1407860
214	4	1414880
215	4	1418650
216	4	1424640
217	4	1438305
218	4	1453230
219	4	1456210
220	4	1474925
221	4	1481050
222	4	1495730
223	4	1531680
224	5	25285
225	5	29640
226	5	30000
227	5	36105
228	5	48480
229	5	52505
230	5	59430
231	5	79255
232	5	96855
233	5	102010
234	5	116530
235	5	118595
236	5	135160
237	5	145805
238	5	148790
239	5	152055
240	5	157620
241	5	166270
242	5	189375
243	5	207025
244	5	217805
245	5	235595
246	5	243690
247	5	256310
248	5	274160
249	5	305960
250	5	308255
251	5	324370
252	5	332380
253	5	339430
254	5	367385
255	5	373400
256	5	406930
257	5	413210
258	5	420775
259	5	425135
260	5	434340
261	5	449830
262	5	457765
263	5	466220
264	5	469110
265	5	476045
266	5	521050
267	5	529405
268	5	550030
269	5	555325
270	5	576325
271	6	8115
272	6	38890
273	6	42965
274	6	68890
275	6	78130
276	6	84040
277	6	98950
278	6	133965
279	6	145425
280	6	148450
281	6	152440
282	6	154630
283	6	166790
284	6	172550
285	6	194705
286	6	196480
287	6	199340
288	6	201760
289	6	216665
290	6	231165
291	6	237310
292	6	240125
293	6	248660
294	7	2310
295	7	6060
296	7	25450
297	7	52745
298	7	62145
299	7	78400
300	7	89740
301	7	102220
302	7	112155
303	7	117640
304	7	139605
305	7	145535
306	7	163270
307	7	171330
308	7	187360
309	7	220700
310	7	232225
311	7	241100
312	7	261500
313	7	274620
314	7	297930
315	7	301205
316	7	328265
317	7	341780
318	7	349650
319	7	360090
320	7	379785
321	7	395090
322	7	400530
323	7	406690
324	7	425265
325	7	431605
326	7	440135
327	7	457230
328	7	468935
329	7	474100
330	7	489685
331	7	496975
332	7	504690
333	7	508580
334	7	520785
335	7	531160
336	7	543455
337	7	554115
338	7	586515
339	7	604835
340	7	611920
341	7	631540
342	7	643540
343	7	644950
344	7	660275
345	7	675470
346	7	682540
347	7	697330
348	7	724895
349	7	748020
350	7	763465
351	7	777920
352	7	790320
353	7	805175
354	7	818000
355	7	841250
356	7	870785
357	7	900170
358	7	910120
359	7	935820
360	7	949065
361	7	961255
362	7	990980
363	7	1006075
364	7	1014115
365	7	1039450
366	7	1057575
367	7	1066870
368	7	1081530
369	7	1090510
370	8	640
371	8	7905
372	8	23120
373	8	28130
374	8	46090
375	8	59685
376	8	71965
377	8	76135
378	8	80650
379	8	92645
380	8	100755
381	8	105680
382	8	109715
383	8	119725
384	8	133785
385	8	136630
386	8	139625
387	8	157475
388	8	161585
389	8	184560
390	8	197300
391	8	212500
392	8	248535
393	8	252305
394	8	258385
395	8	282440
396	8	326695
397	8	362730
398	8	392085
399	8	394415
400	8	399200
401	8	410580
402	8	413775
403	8	424240
404	8	463785
405	8	474540
406	8	495915
407	8	514760
408	8	520520
409	8	537155
410	9	16550
411	9	30340
412	9	51390
413	9	57065
414	9	80575
415	9	87865
416	9	105605
417	9	135335
418	9	136240
419	9	144270
420	9	157120
421	9	163030
422	9	186525
423	9	195570
424	9	217475
425	9	229950
426	9	252040
427	9	265110
428	9	272925
429	9	280175
430	9	288010
431	9	296070
432	9	303955
433	9	314095
434	9	317875
435	9	327940
436	9	336725
437	9	341860
438	9	350330
439	9	355645
440	9	363210
441	9	364695
442	9	377300
443	9	385660
444	9	419760
445	10	15675
446	10	28330
447	10	40160
448	10	56225
449	10	67540
450	10	76635
451	10	91880
452	10	99315
453	10	107050
454	10	125880
455	10	147650
456	10	164010
457	10	209695
458	10	234345
459	10	251635
460	10	270175
461	10	274425
462	10	283545
463	10	299105
464	10	307620
465	10	326250
466	10	347280
467	10	358060
468	10	368450
469	10	386165
470	10	395025
471	10	398625
472	10	409510
473	10	417145
474	10	431455
475	10	436455
476	10	441145
477	10	453605
478	10	457775
479	10	464505
480	10	471915
481	10	492275
482	10	500450
483	10	510240
484	10	516505
485	10	537625
486	10	552985
487	10	567175
488	10	568960
489	10	575215
490	10	590510
491	10	602945
492	10	629120
493	10	635695
494	10	652630
495	10	673790
496	10	689420
497	10	711980
498	10	730940
499	10	731850
500	10	740995
501	11	8680
502	11	16045
503	11	26375
504	11	42540
505	11	55880
506	11	77345
507	11	85960
508	11	107060
509	11	110120
510	11	130685
511	11	159185
512	11	167530
513	11	168950
514	11	184760
515	11	212270
516	11	220935
517	11	238515
518	11	252735
519	11	265655
520	11	280630
521	11	292385
522	11	325885
523	11	330670
524	11	378700
525	11	388915
526	11	394140
527	11	411705
528	11	419865
529	11	432685
530	11	439905
531	11	447570
532	11	453460
533	11	471370
534	11	484750
535	11	497225
536	11	500820
537	11	523480
538	11	532000
539	11	570040
540	11	574420
541	11	586280
542	11	596010
543	11	602405
544	11	632725
545	11	638145
546	11	658495
547	11	660325
548	11	661460
549	12	32225
550	12	52260
551	12	70795
552	12	91460
553	12	95410
554	12	105360
555	12	121330
556	12	129075
557	12	134125
558	12	137340
559	12	146415
560	12	150865
561	12	155400
562	12	158950
563	12	161460
564	12	170020
565	12	181890
566	12	210650
567	12	243430
568	12	258035
569	12	264210
570	12	267610
571	12	287945
572	12	306805
573	12	318160
574	12	336195
575	12	382685
576	12	394880
577	12	415640
578	12	421565
579	12	429380
580	12	437145
581	12	451095
582	12	507810
583	12	520630
584	12	530640
585	12	547505
586	12	560685
587	12	563745
588	12	579125
589	12	581425
590	12	624915
591	12	628440
592	12	656180
593	12	662770
594	12	683610
595	12	694820
596	12	717105
597	12	734090
598	12	749255
599	12	769365
600	12	776100
601	12	794080
602	12	799840
603	12	815905
604	12	822090
605	12	835790
606	12	846780
607	12	852015
608	12	868445
609	12	881945
610	12	888675
611	12	896175
612	12	910000
613	12	971965
614	12	1000165
615	12	1004390
616	12	1015345
617	12	1026675
618	12	1038940
619	12	1055245
620	13	8580
621	13	18800
622	13	40055
623	13	50045
624	13	54660
625	13	57855
626	13	74180
627	13	85565
628	13	94180
629	13	112260
630	13	145180
631	13	147465
632	13	153345
633	13	162225
634	13	173880
635	13	183445
636	13	201505
637	13	212215
638	13	220915
639	13	226995
640	13	234525
641	13	239060
642	13	251515
643	13	256160
644	13	260800
645	13	267950
646	13	277225
647	13	295260
648	13	300570
649	13	319330
650	13	328480
651	13	332030
652	13	339775
653	13	357500
654	13	363455
655	13	394910
656	13	404015
657	13	416145
658	13	426360
659	13	443375
660	13	459565
661	13	468145
662	13	490090
663	13	499395
664	13	507345
665	13	520755
666	13	550140
667	13	554440
668	13	579005
669	13	598225
670	13	622110
671	13	634800
672	13	640355
673	13	665985
674	13	669800
675	13	677115
676	13	690475
677	13	698545
678	13	713590
679	13	718880
680	13	741540
681	13	748375
682	13	753400
683	13	762205
684	13	763870
