CHROM	HS_START	HS_END	LENGTH	HITS	FEATURE_NAME	NAME	midpoint	Type	Direction	IGR	IGR.Start	IGR.End
1	396	498	103	192	TEL01L	null	447	NA	NA	NA	NA	NA
1	2409	2482	74	173	YAL067W-A	null	2445.5	divergent	-,+	YAL068C_YAL067W-A	2169	2479
1	6365	6727	364	400	YAL067C	SEO1	6546	convergent	+,-	YAL067W-A_YAL067C	2707	7235
1	9231	9432	202	174	YAL067C	SEO1	9331.5	directional	-,-	YAL067C_YAL065C	9017	11565
1	28204	28869	666	2350	YAL063C	FLO9	28536.5	divergent	-,+	YAL063C_YAL062W	27969	31567
1	29841	30090	250	256	ARS104	null	29965.5	divergent	-,+	YAL063C_YAL062W	27969	31567
1	31608	31730	123	82	YAL062W	GDH3	31669	NA	NA	NA	NA	NA
1	32917	33191	275	616	YAL062W	GDH3	33054	directional	+,+	YAL062W_YAL061W	32941	33448
1	34487	35092	606	1171	YAL061W	BDH2	34789.5	directional	+,+	YAL061W_YAL060W	34702	35155
1	36357	36567	211	343	YAL059W	ECM1	36462	directional	+,+	YAL060W_YAL059W	36304	36509
1	37220	37459	240	428	YAL058W	CNE1	37339.5	directional	+,+	YAL059W_YAL058W	37148	37464
1	39025	39213	189	532	YAL056W	GPB2	39119	directional	+,+	YAL058W_YAL056W	38973	39259
1	42574	42706	133	64	YAL055W	PEX22	42640	NA	NA	NA	NA	NA
1	45180	45695	516	953	YAL054C	ACS1	45437.5	divergent	-,+	YAL054C_YAL053W	45023	45899
1	48354	48504	151	167	YAL051W	OAF1	48429	directional	+,+	YAL053W_YAL051W	48251	48564
1	52669	52803	135	143	YAL048C	GEM1	52736	directional	-,-	YAL049C_YAL048C	52596	52801
1	54852	54903	52	41	YAL048C	GEM1	54877.5	directional	-,-	YAL048C_YAL047C	54790	54989
1	57369	57565	197	195	YAL044W-A	null	57467	divergent	-,+	YAL046C_YAL044W-A	57386	57518
1	58439	58694	256	1569	YAL044C	GCV3	58566.5	directional	-,-	YAL044C_YAL043C	58463	58695
1	61045	61316	272	1673	YAL042W	ERV46	61180.5	divergent	-,+	YAL043C_YAL042W	61053	61316
1	62602	62780	179	274	YAL042W	ERV46	62691	directional	+,+	YAL042W_YAL041W	62564	62840
