chr	type	start	stop	orientation	sysname	genename
1	chromosome	1	230218	.	1	
1	telomere	1	801	-	TEL01L	
1	X_element	337	801	-	TEL01L_X_element	
1	X_element_combinatorial_repeat	63	336	-	TEL01L_X_element_combinatorial_repeat	
1	telomeric_repeat	1	62	-	TEL01L_telomeric_repeat	
1	gene	335	649	+	YAL069W	Dubious_ORF
1	CDS	335	649	+		
1	mRNA	335	649	+	YAL069W_mRNA	
1	gene	538	792	+	YAL068W-A	Dubious_ORF
1	CDS	538	792	+		
1	mRNA	538	792	+	YAL068W-A_mRNA	
1	ARS	707	776	.	ARS102	
1	gene	1807	2169	-	YAL068C	PAU8
1	CDS	1807	2169	-		
1	mRNA	1807	2169	-	YAL068C_mRNA	
1	gene	2480	2707	+	YAL067W-A	Dubious_ORF
1	CDS	2480	2707	+		
1	mRNA	2480	2707	+	YAL067W-A_mRNA	
1	gene	7235	9016	-	YAL067C	SEO1
1	CDS	7235	9016	-		
1	mRNA	7235	9016	-	YAL067C_mRNA	
1	ARS	7997	8547	.	ARS103	
1	gene	10091	10399	+	YAL066W	Dubious_ORF
1	CDS	10091	10399	+		
1	mRNA	10091	10399	+	YAL066W_mRNA	
1	gene	11565	11951	-	YAL065C	Dubious_ORF
1	CDS	11565	11951	-		
1	mRNA	11565	11951	-	YAL065C_mRNA	
1	gene	12046	12426	+	YAL064W-B	Dubious_ORF
1	CDS	12046	12426	+		
1	mRNA	12046	12426	+	YAL064W-B_mRNA	
1	gene	13363	13743	-	YAL064C-A	TDA8
1	CDS	13363	13743	-		
1	mRNA	13363	13743	-	YAL064C-A_mRNA	
1	gene	21566	21850	+	YAL064W	Dubious_ORF
1	CDS	21566	21850	+		
1	mRNA	21566	21850	+	YAL064W_mRNA	
1	long_terminal_repeat	22230	22552	+	YALWdelta1	
1	gene	22395	22685	-	YAL063C-A	Dubious_ORF
1	CDS	22395	22685	-		
1	mRNA	22395	22685	-	YAL063C-A_mRNA	
1	region	24000	27968	-		
1	gene	24000	27968	-	YAL063C	FLO9
1	CDS	24000	27968	-		
1	mRNA	24000	27968	-	YAL063C_mRNA	
1	ARS	30946	31183	.	ARS104	
1	ARS_consensus_sequence	31002	31018	+	ARS104_ARS_consensus_sequence	
1	gene	31567	32940	+	YAL062W	GDH3
1	CDS	31567	32940	+		
1	mRNA	31567	32940	+	YAL062W_mRNA	
1	gene	33448	34701	+	YAL061W	BDH2
1	CDS	33448	34701	+		
1	mRNA	33448	34701	+	YAL061W_mRNA	
1	gene	35155	36303	+	YAL060W	BDH1
1	CDS	35155	36303	+		
1	mRNA	35155	36303	+	YAL060W_mRNA	
1	gene	36496	36918	-	YAL059C-A	Dubious_ORF
1	CDS	36496	36918	-		
1	mRNA	36496	36918	-	YAL059C-A_mRNA	
1	gene	36509	37147	+	YAL059W	ECM1
1	CDS	36509	37147	+		
1	mRNA	36509	37147	+	YAL059W_mRNA	
1	gene	37464	38972	+	YAL058W	CNE1
1	CDS	37464	38972	+		
1	mRNA	37464	38972	+	YAL058W_mRNA	
